"phenx","icd10_desc","combo","organ","subcombo"
"Other nervous system disorders","Myalgic encephalomyelitis/chronic fatigue syndrome","Nervous System Disorders","Neurology","Fatigue Syndrome"
"Other nervous system disorders","Other cranial cerebrospinal fluid leak","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Other disorders of meninges, not elsewhere classified","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Other disorders of nervous system","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Other post infection and related fatigue syndromes","Nervous System Disorders","Neurology","Fatigue Syndrome"
"Other nervous system disorders","Other tics of organic origin","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Postural orthostatic tachycardia syndrome [POTS]","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Subacute combined degeneration of spinal cord in diseases classified elsewhere","Nervous System Disorders","Neurology",NA
"Other nervous system disorders","Vascular parkinsonism","Nervous System Disorders","Neurology",NA
"Polyneuropathies","Multifocal motor neuropathy","Polyneuropathies","Neurology",NA
"Polyneuropathies","Serum neuropathy","Polyneuropathies","Neurology",NA
"Nervous system pain and pain syndromes","Complex regional pain syndrome I of right upper limb","Pain syndrome","Neurology",NA
"Anxiety and fear-related disorders","Fear of injections and transfusions","Anxiety/fear disorders","Psych",NA
"Depressive disorders","Postpartum mood disturbance","Mood disorder","Psych",NA
"Symptoms of mental and substance use conditions","Obsessive-compulsive behavior","Mood disorder","Psych",NA
"Symptoms of mental and substance use conditions","Slowness and poor responsiveness","Mental s/s","Psych",NA
"Symptoms of mental and substance use conditions","Very low level of personal hygiene","Mental s/s","Psych",NA
"Anxiety and fear-related disorders","Alcohol abuse with alcohol-induced anxiety disorder","Anxiety/fear disorders","Psych",NA
"Anxiety and fear-related disorders","Other situational type phobia","Anxiety/fear disorders","Psych",NA
"Depressive disorders","Depression, unspecified","Depression","Psych",NA
"Depressive disorders","Other specified depressive episodes","Depression","Psych",NA
